YYYYMMDD,Date,Short Positions,Long Positions,Total Positions,Daily PnL,Cumulative PnL,ROR,Market Value,Net Market Value,Sharpe
20101001,10/1/2010,-1000,500,1500,0,127085,0,89670,-63425,4.70777
20101004,10/4/2010,-1000,1000,2000,0,127085,0,228335,75895,4.69545
20101005,10/5/2010,-1000,500,1500,5150,132235,0.0369653,90580,-63425,4.76703
20101006,10/6/2010,-1500,500,2000,0,132235,0,235385,-208020,4.75465
20101007,10/7/2010,-1500,500,2000,0,132235,0,235935,-208020,4.74236
20101008,10/8/2010,-1500,500,2000,0,132235,0,238505,-208020,4.73017
20101011,10/11/2010,-1500,500,2000,0,132235,0,239585,-208020,4.71807
20101012,10/12/2010,-1500,500,2000,50,132285,0.00404367,241495,-207970,4.7167
20101013,10/13/2010,-500,500,1000,4015,136300,0.0709357,162740,-132180,4.83268
20101014,10/14/2010,-1000,500,1500,0,136300,0,234520,-202930,4.82045
20101015,10/15/2010,-1000,500,1500,355,136655,0.0285944,240670,-202575,4.87399
20101018,10/18/2010,-1500,500,2000,0,136655,0,252920,-212170,4.86175
20101019,10/19/2010,-1000,500,1500,1735,138390,0.024523,176900,-141420,4.90683
20101020,10/20/2010,-1000,1000,2000,0,138390,0,247275,-71885,4.8946
20101021,10/21/2010,-1000,1000,2000,0,138390,0,247265,-71885,4.88246
20101022,10/22/2010,-1000,1000,2000,0,138390,0,246180,-71885,4.87042
20101025,10/25/2010,-1000,1000,2000,0,138390,0,246870,-71885,4.85846
20101026,10/26/2010,-1000,500,1500,980,139370,0.0256005,234380,-83855,4.90516
20101027,10/27/2010,-1000,500,1500,9320,148690,0.0644559,93835,47715,5.00904
20101028,10/28/2010,-1500,500,2000,115,148805,0.00163503,246445,-104790,5.00103
20101029,10/29/2010,-1000,500,1500,2130,150935,0.0139562,95160,47830,5.02245
20101101,11/1/2010,-1000,1000,2000,1210,152145,0.0171753,247510,201130,5.05083
20101102,11/2/2010,-1000,1000,2000,0,152145,0,250465,201130,5.03867
20101103,11/3/2010,-1000,1000,2000,4735,156880,0.0342693,252240,205865,5.09971
20101104,11/4/2010,-1000,500,1500,1310,158190,0.018173,183190,133780,5.12984
20101105,11/5/2010,-1000,500,1500,2165,160355,0.0138427,182610,135945,5.15056
20101108,11/8/2010,-1000,500,1500,1020,161375,0.106305,245945,72310,5.26546
20101109,11/9/2010,-1500,500,2000,0,161375,0,255165,61730,5.25296
20101110,11/10/2010,-1000,500,1500,510,161885,0.00850903,245760,72760,5.26086
20101111,11/11/2010,-1000,1000,2000,515,162400,0.00703264,254985,83880,5.26535
20101112,11/12/2010,-1000,500,1500,160,162560,0.0150872,239020,73275,5.28765
20101115,11/15/2010,-1500,500,2000,0,162560,0,249090,62625,5.2753
20101116,11/16/2010,-1500,500,2000,1715,164275,0.031148,245355,64340,5.328
20101117,11/17/2010,-1500,500,2000,110,164385,0.0103286,244550,64450,5.33981
20101118,11/18/2010,-1000,500,1500,30,164415,0.0028463,239315,74990,5.33438
20101119,11/19/2010,-1000,1000,2000,0,164415,0,249305,85560,5.32211
20101122,11/22/2010,-1000,1000,2000,40,164455,0.00309957,252865,85600,5.3174
20101123,11/23/2010,-1000,1000,2000,0,164455,0,249060,85600,5.30527
20101124,11/24/2010,-1000,1000,2000,180,164635,0.0139914,253685,85780,5.32494
20101126,11/26/2010,-1000,1000,2000,100,164735,0.00946074,252745,85880,5.33483
20101129,11/29/2010,-1000,1000,2000,30,164765,0.002365,253200,85910,5.32848
20101130,11/30/2010,-500,1000,1500,25,164790,0.0019755,236885,98565,5.32127
20101201,12/1/2010,-500,1500,2000,70,164860,0.00656045,254165,111655,5.32472
20101202,12/2/2010,-500,500,1000,485,165345,0.0330194,83440,-60380,5.37905
20101203,12/3/2010,-500,1000,1500,105,165450,0.00977654,242255,98445,5.38949
20101206,12/6/2010,-1000,1000,2000,0,165450,0,256840,85025,5.37756
20101207,12/7/2010,-1000,1000,2000,385,165835,0.00242566,255340,85410,5.37146
20101208,12/8/2010,-500,1000,1500,1370,167205,0.0192632,185030,156530,5.40121
20101209,12/9/2010,-500,1500,2000,60,167265,0.0055325,256475,228740,5.40225
20101210,12/10/2010,-500,1500,2000,1175,168440,0.00738506,257315,229915,5.40744
20101213,12/13/2010,-500,1500,2000,0,168440,0,257350,229915,5.39569
20101214,12/14/2010,-500,1500,2000,0,168440,0,257600,229915,5.38402
20101215,12/15/2010,-500,1500,2000,0,168440,0,257105,229915,5.37242
20101216,12/16/2010,-500,1500,2000,125,168565,0.0017325,257545,230040,5.36496
20101217,12/17/2010,-500,1500,2000,0,168565,0,257485,230040,5.3535
20101220,12/20/2010,-500,1500,2000,0,168565,0,257880,230040,5.34212
20101221,12/21/2010,-500,1500,2000,1820,170385,0.0113551,259555,231860,5.35589
20101222,12/22/2010,-500,1500,2000,700,171085,0.00968523,260095,232560,5.36615
20101223,12/23/2010,-500,1500,2000,0,171085,0,259315,232560,5.35486
20101227,12/27/2010,-500,1500,2000,240,171325,0.00148057,259465,232800,5.34708
20101228,12/28/2010,0,1000,1000,980,172305,0.0460248,83295,83880,5.41683
20101229,12/29/2010,-500,500,1000,285,172590,0.00390545,24455,-3080,5.41443
20101230,12/30/2010,-1500,500,2000,0,172590,0,259600,-238245,5.40319
20101231,12/31/2010,-1500,0,1500,-360,172230,-0.0336183,248615,-249120,5.30059
20110103,1/3/2011,-1500,500,2000,0,172230,0,262940,-238695,5.28971
20110104,1/4/2011,-1500,500,2000,0,172230,0,264085,-238695,5.2789
20110105,1/5/2011,-1500,500,2000,0,172230,0,264995,-238695,5.26816
20110106,1/6/2011,-1500,500,2000,0,172230,0,265990,-238695,5.25748
20110107,1/7/2011,-1500,500,2000,0,172230,0,266655,-238695,5.24687
20110110,1/10/2011,-1500,500,2000,0,172230,0,269500,-238695,5.23632
20110111,1/11/2011,-1500,0,1500,100,172330,0.00959233,258515,-249120,5.24641
20110112,1/12/2011,-1500,0,1500,0,172330,0,261035,-249120,5.23594
20110113,1/13/2011,-2000,0,2000,0,172330,0,271990,-259765,5.22553
20110114,1/14/2011,-2000,0,2000,0,172330,0,273930,-259765,5.21518
20110118,1/18/2011,-2000,0,2000,105,172435,0.00986379,270520,-259660,5.22584
20110119,1/19/2011,-2000,0,2000,0,172435,0,272005,-259660,5.21556
20110120,1/20/2011,-2000,0,2000,65,172500,0.00616698,268890,-259595,5.21866
20110121,1/21/2011,-1000,0,1000,5945,178445,0.0696575,24420,-24430,5.30563
20110124,1/24/2011,-500,0,500,235,178680,0.0168398,10620,-10475,5.32919
20110125,1/25/2011,-1500,0,1500,0,178680,0,262195,-261895,5.31882
20110126,1/26/2011,-1500,500,2000,0,178680,0,277710,-247505,5.3085
20110127,1/27/2011,-1500,500,2000,185,178865,0.00229187,277450,-247320,5.30323
20110128,1/28/2011,-1000,500,1500,2650,181515,0.0155243,104210,-76620,5.32427
20110131,1/31/2011,-1000,1000,2000,0,181515,0,275255,93040,5.31406
20110201,2/1/2011,-1000,500,1500,2855,184370,0.0168278,106515,-76620,5.33738
20110202,2/2/2011,-1500,500,2000,0,184370,0,278560,-248780,5.3272
20110203,2/3/2011,-1000,500,1500,440,184810,0.00255576,106375,-76620,5.32258
20110204,2/4/2011,-1000,1000,2000,0,184810,0,279975,96630,5.3125
20110207,2/7/2011,-1000,1000,2000,0,184810,0,283295,96630,5.30248
20110208,2/8/2011,-1000,1000,2000,4350,189160,0.0251082,285585,100980,5.33949
20110209,2/9/2011,-1000,1000,2000,0,189160,0,286120,100980,5.32948
20110210,2/10/2011,-500,1000,1500,425,189585,0.0405728,273065,111455,5.38759
20110211,2/11/2011,-500,1000,1500,825,190410,0.00464527,273975,112280,5.3873
20110214,2/14/2011,-1000,1000,2000,0,190410,0,285600,101495,5.37729
20110215,2/15/2011,-1000,1000,2000,1525,191935,0.00854701,285575,103020,5.38482
20110216,2/16/2011,-1000,500,1500,-880,191055,-0.0611536,274140,88630,5.20135
20110217,2/17/2011,-500,500,1000,1585,192640,0.0196809,190135,169165,5.2289
